totalneto,codagente,nomagente,codgrupo,codsubgrup,nomgrupo,nomsubgrup,codart,nomart,cantfact,cantdevol,cantneto
43172.6,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FRC0025,BANANO EN RODAJAS 1/2 KILO,54.6,0,54.6
177804.67,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FRC0028,FRAMBUESA HIDROPONICA 125 GR,54,0,54
60801.3075,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FRC0002,MELON 1/2 KILO,41.275,0,41.275
58374.074,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FRC0006,MORA SILVESTRE GRANEL 1/2 KILO,28.99,0,28.99
101147.9,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FRC0007,KIWI HAYWARD 1/2 KILO,26,0,26
32749.576,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FRC0003,PAPAYA 1/2 KILO,22.729,0,22.729
35462.09,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FRC0022,MANZANA VERDE 1/2 KILO,20.3,0,20.3
48848.7,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FRC0008,ARANDANOS 125 GRMS,20,0,20
13240,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FCR0025,MARACUYA 1/2 KILO,7,0,7
8221.2,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FRC0023,MELON 1 K,2.6,0,2.6
4085,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FRC0033,MIX DE SANGRIA 1/2 KILO,2,0,2
2970.1485,2,VENTAS DIRECTAS,7,1,FRUTAS,CONGELADAS,FCRC0026,MANZANA VERDE 1 KG,0.825,0,0.825
78943.2,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,SMPACK016,SMOOTHIE VERDE LIGTH 150 GR,126,0,126
67850,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,SMPACK008,SMOOTHIE PACK ADELGAZANTE 150 GR,122,0,122
83789.66,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,SMPACK002,SMOOTHIE PACK SWEET & FIT  150 GR,100,0,100
62316.08,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,SMPACK004,SMOOTHIE PACK PASSION 150 GR,100,0,100
39758.5,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,SMPACK006,SMOOTHIE PACK CARIBBEAN 150 GR,66,0,66
33807.76,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,SMPACK003,SMOOTHIE PACK ANTI-AGE 150 GR,60,0,60
45999,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,FRUNICA015,SMOOTHIE PACK FRUTA UNICA FRESA 150GR,59,0,59
60032.08,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,SMPACK001,SMOOTHIE PACK ANTI-OXIDANTE 150 GR,45,0,45
34486,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,SMPACK005,SMOOTHIE PACK DETOX 150 GR,43,0,43
26497.5,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,SMPACK007,SMOOTHIE PACK VERDE 150 GR,38,0,38
26660,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,FRUNICA014,SMOOTHIE PACK FRUTA UNICA MORA 150GR,34,0,34
10667.7,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,FRUNICA010,SMOOTHIE PACK FRUTA UNICA SANDIA 150 GR,29,0,29
16625,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,FRUNICA013,SMOOTHIE PACK FRUTA UNICA MANGO 150 GR,29,0,29
17582,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,SMPACK009,SMOOTHIE PACK FRUTA UNICA PIÑA 150 GR,26,0,26
14238,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,FRUNICA0012,SMOOTHIE PACK FRUTA UNICA MELON 150 GR,25,0,25
15750,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,SMPACK0018,SMOOTHIE PACK MARACUYA 150 GR,23,0,23
7429.5,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,FRUNICA011,SMOOTHIE PACK FRUTA UNICA PAPAYA 150  GR,14,0,14
3750,2,VENTAS DIRECTAS,8,1,SMOOTHIES,PACKS PREPARADOS,SMPACK0017,SMOOTHIE PACK MIDIFICADO 150 GR,5,0,5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
